GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
51105204,9,South Jonesville Voting District,Lee,1567,1518,3,11,2,12,21,645,222,417
51105102,9,Ewing Voting District,Lee,1245,1231,2,3,0,4,5,496,152,331
51105403,9,Seminary Voting District,Lee,929,916,0,0,2,2,9,351,109,240
51105401,9,Stickleyville Voting District,Lee,1024,1011,0,8,0,2,3,429,166,251
51105303,9,Woodway Voting District,Lee,3239,2030,814,263,28,52,52,765,239,509
51107704,10,Guilford Voting District,Loudoun,4004,1557,193,1800,344,2,108,1267,721,539
51107411,10,East Lovettsville Voting District,Loudoun,2820,2647,51,54,23,10,35,1718,829,876
51107113,10,Mill Run Voting District,Loudoun,4902,2562,587,626,942,8,177,2033,1125,897
51107815,10,Belmont Ridge Voting District,Loudoun,7092,4877,527,384,1026,8,270,3218,1674,1532
51107112,10,Freedom Voting District,Loudoun,9089,4148,625,723,3215,14,364,3264,1767,1477
51107305,10,Philomont Voting District,Loudoun,2507,2313,45,74,23,1,51,1571,705,856
51107809,10,Russell Branch Voting District,Loudoun,4397,3040,241,475,497,7,137,2299,1289,990
51107212,10,Claude Moore Park Voting District,Loudoun,6510,2632,790,1333,1500,2,253,2202,1417,769
51107303,10,Hillsboro Voting District,Loudoun,2994,2694,60,125,53,6,56,1705,706,982
51107306,10,Between The Hills Voting District,Loudoun,515,482,8,13,4,2,6,304,114,189
51107311,10,Woodgrove Voting District,Loudoun,3133,2609,124,160,136,5,99,1637,740,885
51107506,10,Brandon Park Voting District,Loudoun,3113,1816,402,588,192,12,103,1208,737,457
51107703,10,Rolling Ridge Voting District,Loudoun,5118,1970,479,1476,979,10,204,1892,1200,676
51107107,10,Little River Voting District,Loudoun,2668,1914,128,189,358,3,76,1220,621,591
51107310,10,Purcellville Two Voting District,Loudoun,4721,3832,222,357,151,5,154,2326,1090,1219
51107307,10,Middleburg Voting District,Loudoun,1685,1326,180,130,14,3,32,962,583,373
51107102,10,Ashburn Farm Voting District,Loudoun,6436,4031,323,424,1419,15,224,3170,1609,1537
51107810,10,Cedar Lane Voting District,Loudoun,4273,2919,362,455,351,7,179,2172,1221,934
51107701,10,Sully Voting District,Loudoun,4805,1678,395,1922,623,12,175,1553,949,588
51107114,10,Dulles South Voting District,Loudoun,6340,3790,286,394,1672,7,191,3055,1555,1481
51107208,10,Algonkian Voting District,Loudoun,5128,3303,312,811,535,8,159,2389,1358,1015
51107304,10,Hamilton Voting District,Loudoun,5215,4541,183,186,178,10,117,2862,1288,1555
51107604,10,Sugarland North Voting District,Loudoun,4750,3276,245,577,484,3,165,2609,1389,1212
51107207,10,River Bend Voting District,Loudoun,2378,1807,123,232,153,0,63,1422,699,709
51107109,10,Hutchison Voting District,Loudoun,6833,3566,510,556,1907,15,279,3112,1727,1356
51107402,10,Waterford Voting District,Loudoun,3266,2934,59,131,74,6,62,1798,844,940
51107105,10,Hillside Voting District,Loudoun,5746,4358,291,332,575,11,179,2758,1442,1301
51107209,10,Potomac Falls Voting District,Loudoun,3782,2608,221,355,440,1,157,1980,1145,820
51107111,10,Briar Woods Voting District,Loudoun,5381,3092,491,393,1158,11,236,1947,1164,771
51107211,10,Buchanan Voting District,Loudoun,2086,953,197,474,401,10,51,865,513,344
51107115,10,Pinebrook Voting District,Loudoun,4724,3075,289,300,855,12,193,1687,903,776
51107106,10,Eagle Ridge Voting District,Loudoun,6191,3483,300,339,1815,3,251,2220,1229,980
51107501,10,West Leesburg Voting District,Loudoun,3896,3076,314,343,86,11,66,1927,1096,807
51107407,10,Harper Park Voting District,Loudoun,6320,4728,403,352,617,13,207,3079,1411,1653
51107808,10,Stone Bridge Voting District,Loudoun,4980,3650,319,322,516,7,166,2568,1382,1169
51107702,10,Park View Voting District,Loudoun,5102,2489,325,1407,732,5,144,2166,1256,896
51107406,10,Balls Bluff Voting District,Loudoun,4671,3078,415,513,483,5,177,2262,1232,1022
51107401,10,West Lovettsville Voting District,Loudoun,3694,3202,126,217,58,7,84,1921,917,985
51107502,10,East Leesburg Voting District,Loudoun,8171,3067,1027,3340,466,16,255,2253,1482,740
51107705,10,Forest Grove Voting District,Loudoun,4817,2106,322,1861,434,6,88,1914,1036,846
51107814,10,Newton-Lee Voting District,Loudoun,8269,5177,514,497,1773,19,289,3767,1839,1913
51107410,10,Tolbert Voting District,Loudoun,6992,3440,823,1212,1173,6,338,2699,1589,1096
51107409,10,Clarkes Gap Voting District,Loudoun,2369,1980,110,75,131,5,68,1267,587,672
51107504,10,Smart's Mill Voting District,Loudoun,4153,3078,280,561,118,9,107,1940,1002,925
51107117,10,Carter Voting District,Loudoun,5771,1840,420,343,2919,14,235,2044,1222,809
51107607,10,Lowes Island Voting District,Loudoun,3503,2707,153,181,330,2,130,2011,1017,985
51107108,10,Mercer Voting District,Loudoun,7214,3583,700,597,1992,16,326,2645,1417,1216
51107301,10,Purcellville One Voting District,Loudoun,4172,3559,201,201,117,4,90,1952,915,1023
51107412,10,Heritage Voting District,Loudoun,2899,2578,76,119,64,2,60,1490,688,799
51107101,10,Sanders Corner Voting District,Loudoun,4018,3034,233,292,335,4,120,2110,1033,1070
51107210,10,Cascades Voting District,Loudoun,4911,3012,307,464,895,5,228,2344,1367,964
51107609,10,South Bank Voting District,Loudoun,4246,2832,178,238,793,10,195,2044,1121,917
51107213,10,Countryside Voting District,Loudoun,2876,1833,223,426,319,1,74,1364,747,602
51107405,10,Greenway Voting District,Loudoun,2173,1735,162,133,83,3,57,1192,648,529
51107816,10,Weller Voting District,Loudoun,4475,2568,387,477,858,12,173,1847,1067,769
51107813,10,Selden's Landing Voting District,Loudoun,7254,3642,886,1126,1274,11,315,2685,1676,999
